url,primary_category,secondary_category,product_category
https://www.bigbasket.com/pc/bakery-cakes-dairy/gourmet-breads/gourmet-bread/,bakery-cakes-dairy,gourmet-breads,gourmet-bread
https://www.bigbasket.com/pc/bakery-cakes-dairy/cookies-rusk-khari/rusks/,bakery-cakes-dairy,cookies-rusk-khari,rusks
https://www.bigbasket.com/pc/bakery-cakes-dairy/cookies-rusk-khari/khari-cream-rolls/,bakery-cakes-dairy,cookies-rusk-khari,khari-cream-rolls
https://www.bigbasket.com/pc/bakery-cakes-dairy/cookies-rusk-khari/premium-cookies/,bakery-cakes-dairy,cookies-rusk-khari,premium-cookies
https://www.bigbasket.com/pc/bakery-cakes-dairy/cookies-rusk-khari/bakery-biscuits-cookies/,bakery-cakes-dairy,cookies-rusk-khari,bakery-biscuits-cookies
https://www.bigbasket.com/pc/bakery-cakes-dairy/ice-creams-desserts/ice-creams/,bakery-cakes-dairy,ice-creams-desserts,ice-creams
https://www.bigbasket.com/pc/bakery-cakes-dairy/bakery-snacks/bread-sticks-lavash/,bakery-cakes-dairy,bakery-snacks,bread-sticks-lavash
https://www.bigbasket.com/pc/bakery-cakes-dairy/bakery-snacks/cheese-garlic-bread/,bakery-cakes-dairy,bakery-snacks,cheese-garlic-bread
https://www.bigbasket.com/pc/bakery-cakes-dairy/bakery-snacks/puffs-patties-sandwiches/,bakery-cakes-dairy,bakery-snacks,puffs-patties-sandwiches
https://www.bigbasket.com/pc/bakery-cakes-dairy/bakery-snacks/breadcrumbs-croutons/,bakery-cakes-dairy,bakery-snacks,breadcrumbs-croutons
https://www.bigbasket.com/pc/bakery-cakes-dairy/cakes-pastries/tea-cakes-slice-cakes/,bakery-cakes-dairy,cakes-pastries,tea-cakes-slice-cakes
https://www.bigbasket.com/pc/bakery-cakes-dairy/cakes-pastries/muffins-cup-cakes/,bakery-cakes-dairy,cakes-pastries,muffins-cup-cakes
https://www.bigbasket.com/pc/bakery-cakes-dairy/cakes-pastries/pastries-brownies/,bakery-cakes-dairy,cakes-pastries,pastries-brownies
https://www.bigbasket.com/pc/bakery-cakes-dairy/cakes-pastries/birthday-party-cakes/,bakery-cakes-dairy,cakes-pastries,birthday-party-cakes
https://www.bigbasket.com/pc/bakery-cakes-dairy/cakes-pastries/doughnuts-mousses/,bakery-cakes-dairy,cakes-pastries,doughnuts-mousses
https://www.bigbasket.com/pc/beverages/energy-soft-drinks/soda-cocktail-mix/,beverages,energy-soft-drinks,soda-cocktail-mix
https://www.bigbasket.com/pc/beverages/energy-soft-drinks/cold-drinks/,beverages,energy-soft-drinks,cold-drinks
https://www.bigbasket.com/pc/beverages/energy-soft-drinks/sports-energy-drinks/,beverages,energy-soft-drinks,sports-energy-drinks
https://www.bigbasket.com/pc/beverages/energy-soft-drinks/non-alcoholic-drinks/,beverages,energy-soft-drinks,non-alcoholic-drinks
https://www.bigbasket.com/pc/beverages/water/packaged-water/,beverages,water,packaged-water
https://www.bigbasket.com/pc/beverages/water/spring-water/,beverages,water,spring-water
https://www.bigbasket.com/pc/beverages/health-drink-supplement/kids-5yrs/,beverages,health-drink-supplement,kids-5yrs
https://www.bigbasket.com/pc/beverages/health-drink-supplement/children-2-5-yrs/,beverages,health-drink-supplement,children-2-5-yrs
https://www.bigbasket.com/pc/beverages/health-drink-supplement/men-women/,beverages,health-drink-supplement,men-women
https://www.bigbasket.com/pc/beverages/health-drink-supplement/diabetic-drinks/,beverages,health-drink-supplement,diabetic-drinks
https://www.bigbasket.com/pc/beverages/health-drink-supplement/glucose-powder-tablets/,beverages,health-drink-supplement,glucose-powder-tablets
https://www.bigbasket.com/pc/beverages/tea/leaf-dust-tea/,beverages,tea,leaf-dust-tea
https://www.bigbasket.com/pc/beverages/tea/green-tea/,beverages,tea,green-tea
https://www.bigbasket.com/pc/beverages/tea/exotic-flavoured-tea/,beverages,tea,exotic-flavoured-tea
https://www.bigbasket.com/pc/beverages/tea/tea-bags/,beverages,tea,tea-bags
https://www.bigbasket.com/pc/beverages/coffee/ground-coffee/,beverages,coffee,ground-coffee
https://www.bigbasket.com/pc/beverages/coffee/instant-coffee/,beverages,coffee,instant-coffee
https://www.bigbasket.com/pc/beverages/fruit-juices-drinks/unsweetened-cold-press/,beverages,fruit-juices-drinks,unsweetened-cold-press
https://www.bigbasket.com/pc/beverages/fruit-juices-drinks/juices/,beverages,fruit-juices-drinks,juices
https://www.bigbasket.com/pc/beverages/fruit-juices-drinks/syrups-concentrates/,beverages,fruit-juices-drinks,syrups-concentrates
https://www.bigbasket.com/pc/snacks-branded-foods/noodle-pasta-vermicelli/instant-noodles/,snacks-branded-foods,noodle-pasta-vermicelli,instant-noodles
https://www.bigbasket.com/pc/snacks-branded-foods/noodle-pasta-vermicelli/hakka-noodles/,snacks-branded-foods,noodle-pasta-vermicelli,hakka-noodles
https://www.bigbasket.com/pc/snacks-branded-foods/noodle-pasta-vermicelli/cup-noodles/,snacks-branded-foods,noodle-pasta-vermicelli,cup-noodles
https://www.bigbasket.com/pc/snacks-branded-foods/noodle-pasta-vermicelli/vermicelli/,snacks-branded-foods,noodle-pasta-vermicelli,vermicelli
https://www.bigbasket.com/pc/snacks-branded-foods/noodle-pasta-vermicelli/instant-pasta/,snacks-branded-foods,noodle-pasta-vermicelli,instant-pasta
https://www.bigbasket.com/pc/snacks-branded-foods/noodle-pasta-vermicelli/pasta-macaroni/,snacks-branded-foods,noodle-pasta-vermicelli,pasta-macaroni
https://www.bigbasket.com/pc/snacks-branded-foods/breakfast-cereals/oats-porridge/,snacks-branded-foods,breakfast-cereals,oats-porridge
https://www.bigbasket.com/pc/snacks-branded-foods/breakfast-cereals/kids-cereal/,snacks-branded-foods,breakfast-cereals,kids-cereal
https://www.bigbasket.com/pc/snacks-branded-foods/breakfast-cereals/muesli/,snacks-branded-foods,breakfast-cereals,muesli
https://www.bigbasket.com/pc/snacks-branded-foods/breakfast-cereals/flakes/,snacks-branded-foods,breakfast-cereals,flakes
https://www.bigbasket.com/pc/snacks-branded-foods/breakfast-cereals/granola-cereal-bars/,snacks-branded-foods,breakfast-cereals,granola-cereal-bars
https://www.bigbasket.com/pc/snacks-branded-foods/frozen-veggies-snacks/frozen-vegetables/,snacks-branded-foods,frozen-veggies-snacks,frozen-vegetables
https://www.bigbasket.com/pc/snacks-branded-foods/frozen-veggies-snacks/frozen-indian-breads/,snacks-branded-foods,frozen-veggies-snacks,frozen-indian-breads
https://www.bigbasket.com/pc/snacks-branded-foods/frozen-veggies-snacks/frozen-veg-snacks/,snacks-branded-foods,frozen-veggies-snacks,frozen-veg-snacks
https://www.bigbasket.com/pc/snacks-branded-foods/frozen-veggies-snacks/frozen-non-veg-snacks/,snacks-branded-foods,frozen-veggies-snacks,frozen-non-veg-snacks
https://www.bigbasket.com/pc/snacks-branded-foods/biscuits-cookies/salted-biscuits/,snacks-branded-foods,biscuits-cookies,salted-biscuits
https://www.bigbasket.com/pc/snacks-branded-foods/biscuits-cookies/marie-health-digestive/,snacks-branded-foods,biscuits-cookies,marie-health-digestive
https://www.bigbasket.com/pc/snacks-branded-foods/biscuits-cookies/cream-biscuits-wafers/,snacks-branded-foods,biscuits-cookies,cream-biscuits-wafers
https://www.bigbasket.com/pc/snacks-branded-foods/biscuits-cookies/glucose-milk-biscuits/,snacks-branded-foods,biscuits-cookies,glucose-milk-biscuits
https://www.bigbasket.com/pc/snacks-branded-foods/biscuits-cookies/cookies/,snacks-branded-foods,biscuits-cookies,cookies
https://www.bigbasket.com/pc/snacks-branded-foods/snacks-namkeen/chips-corn-snacks/,snacks-branded-foods,snacks-namkeen,chips-corn-snacks
https://www.bigbasket.com/pc/snacks-branded-foods/snacks-namkeen/namkeen-savoury-snacks/,snacks-branded-foods,snacks-namkeen,namkeen-savoury-snacks
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/honey/,snacks-branded-foods,spreads-sauces-ketchup,honey
